,date,tweet,hashtags
1,2021-04-29,"O auto cuidado é uma necessidade e uma prioridade, não um luxo.  #autocuidado #prioridades","#autocuidado, #prioridades"
6,2021-04-29,"Se sentiu paz, a escolha foi certa. 💖✨  #Paz #PazDeEspirito  #CrescimentoPessoal  #Autocuidado","#Paz, #PazDeEspirito, #CrescimentoPessoal, #Autocuidado"
9,2021-04-29,to exausto hj vou comer doce e acabar de ver o doc #autocuidado,#autocuidado
14,2021-04-28,O tempo gasto consigo mesmo é o melhor tempo.  #autocuidado #autoconhecimento #bbb #bbb21 #redebbb #amorproprio,"#autocuidado, #autoconhecimento, #bbb, #bbb21, #redebbb, #amorproprio"
15,2021-04-28,@ilududa__ amg perfeito  #autocuidado ✊,#autocuidado
20,2021-04-27,"se vc faz terapia, em algum momento poderá ser chamada de egoísta. isso pq algumas pessoas não admitem perder o posto de prioridade de sua vida.  fazer terapia não é egoísmo é revolução! 🤎 #terapia #saudemental #autoconhecimento #autocuidado","#terapia, #saudemental, #autoconhecimento, #autocuidado"
24,2021-04-27,O amor da sua vida é VOCÊ. Cuide-se!  #bomdia #secuide #seame #autoestima #autocuidado #secuidarfazbem,"#bomdia, #secuide, #seame, #autoestima, #autocuidado, #secuidarfazbem"
25,2021-04-27,"já se olhou no espelho hj e admirou a perfeição q vc é? cê n, oq tá esperando??? vão lá e faça vcs msms se sentirem bem!  #autocuidado",#autocuidado
28,2021-04-27,"são tantas coisas, acontecendo o tempo todo, e eu mais uma vez aqui, escrevendo pra me curar.  #autocuidado",#autocuidado
30,2021-04-26,"Olá! Vamos falar sobre Autocuidado? Existem muitas maneiras de se cuidar como, por exemplo, o cuidado físico e também o financeiro. Além disso, também existem os cuidados psicológico e emocial que são tão importantes quanto todos os outros tipos.  #autocuidado #saúde","#autocuidado, #saúde"
34,2021-04-26,"Caminhada ok, vitamina D ok, alívio pra saúde mental ok. #segunda #autocuidado","#segunda, #autocuidado"
35,2021-04-26,Você precisa ser egoísta.  #autocuidado,#autocuidado
39,2021-04-25,Eu vou ficar completamente bêbada. Fumar uns trem. A ver spiderman no spiderverso.  #autocuidado,#autocuidado
51,2021-04-24,passar salmoura nos buraco agr #autocuidado #selfcare,"#autocuidado, #selfcare"
57,2021-04-22,"...cada choro, seja ele por motivo bons ou ruins,cada momento está arquivado na sua cabeça, então enquanto a sua cabeça diz sobre Você já pensou nisso? #psicoterapia #psicanalise #psychoanalysis #hipnoseclinica #autoconhecimento #autocuidado","#psicoterapia, #psicanalise, #psychoanalysis, #hipnoseclinica, #autoconhecimento, #autocuidado"
59,2021-04-22,"Cuide da sua criança interior, como você gostaria que tivessem te cuidado na infância #psicanálise #psicoterapia #autoestima #autocuidado","#psicanálise, #psicoterapia, #autoestima, #autocuidado"
